Date,Adj Close,Close,High,Low,Open,Volume,daily_return,lag_return_1,lag_return_2,moving_avg_5,moving_avg_20,volatility_5,target_direction
1994-07-06,25.545427322387695,44.734375,44.8125,44.46875,44.625,174800,-0.0013951866062086316,0.005259467040673149,0.0021082220660575413,44.6625,45.346875,0.0045243134234089835,1
1994-07-07,25.65249252319336,44.921875,44.921875,44.6875,44.734375,66700,0.004191407614390519,-0.0013951866062086316,0.005259467040673149,44.696875,45.30390625,0.004693396696057868,0
1994-07-08,25.643569946289062,44.90625,44.984375,44.625,44.640625,148400,-0.0003478260869564931,0.004191407614390519,-0.0013951866062086316,44.784375,45.24765625,0.0028491629975241073,0
1994-07-11,25.554353713989258,44.75,45.015625,44.53125,44.9375,124000,-0.00347947112038971,-0.0003478260869564931,0.004191407614390519,44.821875,45.1796875,0.003735916268157118,1
1994-07-12,25.59002113342285,44.8125,44.828125,44.515625,44.765625,257300,0.0013966480446927498,-0.00347947112038971,-0.0003478260869564931,44.825,45.11171875,0.002901122322757326,1
1994-07-13,25.634645462036133,44.890625,45.03125,44.828125,44.828125,532700,0.0017433751743374248,0.0013966480446927498,-0.00347947112038971,44.85625,45.0296875,0.0028429646638556284,1
1994-07-14,25.91126251220703,45.375,45.46875,45.078125,45.109375,494200,0.010790114862513134,0.0017433751743374248,0.0013966480446927498,44.946875,44.98125,0.005320497745136038,1
1994-07-15,25.920162200927734,45.390625,45.484375,45.328125,45.34375,49100,0.0003443526170798794,0.010790114862513134,0.0017433751743374248,45.04375,44.92890625,0.005252032224984289,1
1994-07-18,25.964778900146484,45.46875,45.578125,45.390625,45.390625,72300,0.001721170395869276,0.0003443526170798794,0.010790114862513134,45.1875,44.90859375,0.004281510626869953,0
1994-07-19,25.91126251220703,45.375,45.5625,45.375,45.546875,609500,-0.0020618556701030855,0.001721170395869276,0.0003443526170798794,45.3,44.903125,0.004882676719098581,0
1994-07-20,25.795249938964844,45.171875,45.40625,45.0625,45.40625,185300,-0.004476584022038543,-0.0020618556701030855,0.001721170395869276,45.35625,44.90703125,0.0058270326868821104,1
1994-07-21,25.84878921508789,45.265625,45.296875,45.078125,45.171875,86300,0.0020754064337600298,-0.004476584022038543,-0.0020618556701030855,45.334375,44.90703125,0.00276268711389451,1
1994-07-22,25.89340591430664,45.34375,45.40625,45.25,45.375,151600,0.0017259233690023468,0.0020754064337600298,-0.004476584022038543,45.325,44.92421875,0.0029297259928357552,1
1994-07-25,25.92908477783203,45.40625,45.453125,45.3125,45.359375,120900,0.001378359751895264,0.0017259233690023468,0.0020754064337600298,45.3125,44.99140625,0.002876969406775552,0
